code,GDPpc,pm,live
AFG,496.6025043,58.33087223,62.941
AGO,2189.855714,24.59881133,63.051
ALB,5460.430509,15.70470712,79.467
AND,41257.80458,9.010874653,84.098
ARE,44251.45414,41.95562632,82.596
ARG,9955.974787,14.39962389,76.847
ARM,4597.228874,32.66182353,76.22195122
AUS,54972.70179,9.330990316,82.9
AUT,49885.99474,11.46459378,81.89512195
AZE,4805.753718,22.02383494,73.29
BDI,210.2364945,28.77473699,62.18
BEL,46716.62275,11.21437918,81.99512195
BEN,1130.821353,46.56252753,59.888
BFA,764.8530778,50.70572336,60.184
BGD,2129.79897,50.36452654,72.625
BGR,10372.80443,17.53802566,75.11219512
BHR,27259.74386,59.96551749,80.471
BHS,33640.33699,18.56595289,71.408
BIH,6122.375345,26.71579225,77.394
BLR,6837.773396,15.61779259,74.22682927
BLZ,6190.047923,26.14653347,72.577
BMU,115798.0408,7.206799052,81.251
BOL,3503.896011,24.48499244,67.82
BRA,9029.833267,12.34884009,75.809
BRB,20583.72658,23.32554309,76.495
BRN,30426.57303,7.945858113,75.049
BTN,3576.879871,30.05189776,72.005
BWA,7172.089565,19.20354844,67.167
CAF,449.2284676,34.91437601,31.53
CAN,46352.86934,6.226801693,82.16365854
CHE,84121.93103,9.450018754,83.90487805
CHL,14495.71672,22.73239277,80.324
CHN,10342.90095,37.54757537,77.94
CIV,2141.768362,44.33242667,60.274
CMR,1555.226605,40.73557619,61.695
COD,557.0441613,26.33793289,60.242
COG,2488.424667,28.74841721,63.152
COL,6472.545449,14.5158658,76.793
CRI,12884.686,13.37664409,80.296
CUB,9232.261159,20.34311224,77.413
CYP,29703.05273,15.00666147,81.454
CZE,24062.719,14.2336874,79.22926829
DEU,47623.86561,10.63784953,81.29268293
DJI,2837.169023,39.72185739,64.381
DMA,9491.14996,20.04342444,71.305
DNK,59404.26632,9.611972854,81.45121951
DOM,8183.016236,19.49681819,73.112
DZA,4468.453419,24.38860864,75.682
ECU,6205.057652,17.76993165,77.286
EGY,2962.98892,67.75290209,71.213
ESP,29786.52457,9.353543397,83.83170732
EST,24021.25014,6.844825147,78.64634146
ETH,828.7090805,28.68769463,65.741
FIN,48358.18078,5.378670328,81.98292683
FJI,5950.828669,12.91237731,67.009
FRA,40408.28486,9.825246005,82.82682927
GAB,7441.178647,27.52418958,67.337
GBR,42794.00226,9.945698693,81.36912195
GEO,4741.283272,17.61830215,74.165
GHA,2186.658227,49.6566317,64.455
GIN,1031.341465,42.87810689,59.379
GMB,738.186752,54.87329162,64.427
GNB,807.4255249,48.50289705,62.161
GNQ,6804.149231,31.55237846,62.297
GRC,19335.3602,14.94190555,81.63902439
GRD,10462.79292,24.26473714,74.971
GRL,53309.20359,6.489507459,71.94439024
GTM,4511.997552,20.21028105,71.639
GUM,39274.94314,9.887840137,76.645
GUY,6405.824434,26.09207348,69.067
HND,2502.327443,18.14366035,72.124
HRV,15563.81674,15.91485399,78.22439024
HTI,1352.172042,20.938502,64.328
HUN,17012.85986,14.64123544,76.3195122
IDN,4106.948562,19.4270919,70.349
IND,2041.428637,59.89198088,70.746
IRL,81810.19265,7.892394674,82.70243902
IRN,3831.278948,34.01578957,76.855
IRQ,5671.856863,37.7315693,71.245
ISL,68452.23622,5.481558072,83.16341463
ISR,44250.63136,19.55564321,82.80487805
ITA,33812.78872,14.89368586,83.49756098
JAM,5607.242993,17.0706325,71.532
JOR,4170.1144,31.25973135,76.865
JPN,40415.95676,12.93787279,84.35634146
KAZ,9457.126147,20.85698539,73.658
KEN,1960.408089,19.57052723,62.939
KGZ,1421.999275,26.76138443,71.6
KHM,2225.877055,22.97380172,70.127
KIR,1750.997719,11.54812068,65.866
KOR,31902.4169,26.01536343,83.22682927
LAC,8266.474712,15.49707525,75.05135246
LAO,2589.32081,22.42896038,67.911
LBN,8905.880055,20.59700906,78.208
LBR,658.1641808,37.15912536,61.232
LBY,9963.194891,36.48447322,72.941
LCA,11794.05972,23.07050058,72.249
LKA,4081.947727,19.77980365,76.698
LSO,1082.057068,21.18105939,55.249
LTU,19608.79439,10.24650237,76.28292683
LUX,112696.6491,8.459104619,82.63902439
LVA,17294.97516,12.48658332,75.38780488
MAR,3508.097656,20.92990599,74.245
MCO,193746.7856,9.659078932,86.151
MDA,4405.334182,15.77281701,70.181
MDG,499.8188376,12.79453865,63.504
MDV,11740.2724,12.31398191,79.707
MEX,10369.55536,14.7051078,74.53
MHL,5292.339855,10.80311032,66.047
MKD,6718.858266,25.87868813,76.60243902
MLI,971.9493186,57.39043743,59.217
MLT,32421.91798,12.59091753,82.65853659
MMR,1425.989542,32.16422796,66.457
MNE,8842.485287,18.32319576,76.68292683
MNG,4347.546103,31.0839272,71.05317073
MOZ,519.0925509,19.59456447,61.306
MRT,1767.072711,72.1994109,67.64
MUS,11403.25279,9.276666907,74.23585366
MWI,580.8898161,22.33702298,64.995
MYS,10920.19176,17.81975108,75.9
NAC,63306.79998,7.078969591,79.13341344
NAM,4731.921032,19.38784969,63.546
NER,561.6913043,72.4703211,60.031
NGA,2265.155209,51.72183886,53.009
NIC,1958.620515,14.98434846,73.764
NLD,53554.90075,11.36414195,82.11219512
NOR,76430.58895,6.381224463,82.95853659
NPL,1203.142947,57.27501793,69.299
NRU,10776.82846,6.026064446,61.393
NZL,42779.22982,7.422966715,82.05609756
OMN,19180.18642,44.89776437,79.946
PAK,1390.41691,52.8571977,66.729
PAN,16477.90663,11.88429311,78.514
PER,7037.008037,29.11178546,76.275
PHL,3400.789498,21.5254372,69.68
PLW,15841.19564,7.745894968,68.982
PNG,2575.772741,16.88829626,65.331
POL,15874.52205,18.77019541,77.90487805
PRI,31830.5285,6.660404839,81.438
PRT,23343.3629,7.982561219,81.67560976
PRY,5821.181995,10.12225649,73.668
PSE,3656.858271,29.68224937,75.811
QAT,66841.30135,81.00883378,82.945
ROU,12992.03261,15.00734037,75.60731707
RUS,11447.70117,11.67782303,73.08390244
RWA,810.0514121,30.00716424,66.691
SAS,2067.059757,58.29354257,70.99756231
SAU,29566.79338,58.62259286,78.313
SDN,709.9752808,51.93562183,65.803
SEN,1431.181289,60.34290163,67.668
SGP,65952.0379,17.07590632,83.59512195
SLB,2223.665026,14.30023529,69.981
SLE,844.0495552,38.59209829,59.593
SLV,4320.116715,18.26758858,71.725
SMR,46627.01224,10.49382376,85.257
SOM,539.8939316,22.83604392,57.249
SRB,7755.632986,22.6362589,75.93658537
STP,1935.293182,21.65567283,68.043
SUR,6629.667752,29.990412,71.773
SVK,19406.05897,15.83711665,77.66585366
SVN,25814.16872,13.90821658,81.52926829
SWE,51773.04646,6.068692696,83.1097561
SYC,19141.51187,9.43411736,74.04634146
TCD,893.3364416,51.86735771,52.993
TGO,826.2606541,47.62906647,61.055
THA,7605.696578,30.38275655,77.197
TJK,871.0223729,40.28904966,70.962
TKM,6648.034896,20.25303489,69.405
TLS,1562.364581,17.6278812,66.496
TON,4676.848025,12.75744611,72.292
TTO,17293.47301,25.01022716,72.836
TUN,3528.872133,23.77140341,75.599
TUR,9215.440499,23.69461158,77.737
TZA,1063.32251,20.77856879,66.007
UGA,822.1711501,31.48501348,66.354
UKR,3619.861572,15.57950073,73.92
URY,18315.7317,10.29859115,77.503
USA,65227.95659,7.176021479,78.78780488
UZB,2041.384807,34.13319926,72.093
VNM,3440.900254,20.83178689,74.211
VUT,3207.446505,14.33649809,70.783
WSM,4351.942349,12.87267267,70.269
YEM,623.3761681,41.64079343,66.567
ZAF,6533.71121,23.18977206,66.071
ZMB,1258.986198,23.20374759,62.914
ZWE,1683.913136,18.52860746,61.06
