Year,AT,BE,BG,CY,CZ,DE,DK,ES,EE,FI,FR,GR,HR,HU,IE,IT,LT,LU,LV,MT,NL,PL,PT,RO,SK,SI,SE
1960,935.4604269,1273.691659,,,,,,396.3922533,,1179.353011,1333.881573,520.3227443,,,685.6147124,804.4926233,,2242.015817,,,1068.784587,,360.4992985,,,,2114.002973
1961,1031.815004,1350.197673,,,,,,450.0532892,,1327.427224,1430.434624,590.7800548,,,739.2764064,887.3367446,,2222.366366,,,1159.392357,,382.729947,,,,2288.921701
1962,1087.834243,1438.523233,,,,,,520.2061314,,1411.702398,1585.735311,617.0577577,,,797.0062884,990.2601522,,2311.798849,,,1240.677894,,407.8528436,,,,2468.694589
1963,1167.000532,1535.023729,,,,,,609.4873841,,1522.319242,1758.856659,695.2286244,,,852.1353017,1126.019337,,2441.038555,,,1328.036649,,432.5117296,,,,2657.022505
1964,1269.412583,1701.846276,,,,,,675.2416391,,1707.503938,1928.999402,783.705881,,,965.1354227,1222.54454,,2755.633117,,,1541.947365,,468.7810816,,,,2941.048899
1965,1374.53214,1835.594766,,,,,,774.7616093,,1882.086858,2060.299715,899.2812389,,,1023.773726,1304.453817,,2780.092719,,,1708.096356,,520.9106594,,,,3206.09917
1966,1486.968606,1957.62608,,,,,2487.136181,889.659872,,2010.213456,2209.000173,997.4304675,,,1074.506506,1402.442354,,2900.433218,,,1835.801424,,575.0076807,,,,3454.429789
1967,1569.667183,2086.636005,,,,,2700.74629,968.3067818,,2034.18905,2363.669669,1068.114556,,,1152.004952,1533.692877,,2909.660629,,,1991.360686,,646.8227201,,,,3720.926845
1968,1677.673528,2222.361511,,,,,2776.13539,950.5457406,,1907.077272,2553.975843,1154.438531,,,1124.516636,1651.939377,,3175.367369,,,2185.248659,,719.0804919,,,,3926.409001
1969,1825.386126,2458.08182,,,,,3151.133161,1077.6787,,2178.03525,2767.615431,1324.058989,,,1291.34992,1813.388126,,3658.900683,,,2642.956118,,795.7593714,,,,4234.161348
1970,2058.769051,2765.890997,,,,2761.166833,3464.455156,1212.289326,,2465.644819,2870.15751,1494.387984,,,1486.514527,2106.863959,,4298.033897,,828.4216803,2927.072939,,934.0821561,,,,4736.217154
1971,2380.978458,3082.927989,,,,3192.133616,3845.506089,1362.165524,,2716.190092,3180.33744,1652.325956,,,1703.932183,2305.609751,,4435.398008,,874.0663356,3378.614797,,1064.537713,,,,5132.711607
1972,2924.048879,3831.6319,,,,3809.981445,4654.298936,1708.808629,,3177.645701,3865.9254,1899.675784,,,2080.465147,2671.137314,,5486.720628,,975.7588009,4104.45103,,1302.266268,,,,6027.128499
1973,3890.722419,4900.962201,,,,5046.755103,6119.370222,2247.553377,,4173.173047,4984.196684,2502.814745,,,2424.269047,3205.25204,,7447.213018,,1143.620203,5345.575444,,1747.989041,,,,7301.215426
1974,4630.757197,5733.798139,,,,5639.077621,6770.750027,2749.924663,,5297.607817,5345.921568,2828.748559,,,2516.927686,3621.145822,,8966.728959,,1245.361225,6440.97842,,2000.418246,,,,8089.914585
1975,5285.620724,6701.377361,,976.3342285,,6236.358881,7999.112667,3209.837445,,6255.544641,6717.439489,3153.235776,,,2973.400123,4106.993868,,8701.304731,,1560.112154,7335.508997,,2127.637507,,,,10117.30668
1976,5678.386658,7243.047341,,1157.411621,,6634.856899,8787.589722,3279.312671,,6739.690713,6899.069578,3390.544976,,,2919.583087,4033.099354,,9490.690312,,1726.559448,7925.688062,,2173.283934,,,,10868.27577
1977,6810.627685,8426.946959,,1476.271484,,7682.953775,9783.852022,3627.590663,,7069.105738,7566.662559,3886.374451,,,3427.073436,4603.599701,,10486.33579,,2037.897337,9166.808195,,2267.371003,,,,11448.61939
1978,8205.468977,10289.76842,,1929.403564,,9482.04285,11826.01861,4356.43922,,7628.815714,9299.77405,4694.633782,,,4399.986805,5610.498099,,13034.38821,,2558.740255,11179.38956,,2457.313216,,,,12620.51861
1979,9793.765348,11810.61588,,2559.259766,,11281.02332,13751.99895,5770.214614,,9332.245264,11213.02362,5705.949371,,,5429.962001,6990.285807,,15204.33082,,3195.552586,12798.54325,,2755.624618,,,,14877.16429
1980,10869.54649,12864.00257,2238.802958,4232.022949,,12138.3081,13883.88714,6208.578019,,11223.93756,12738.52005,5893.661893,,,6372.437775,8456.918974,,16531.1149,,3948.403126,13791.86226,,3368.366669,,,,17097.83265
1981,9385.249064,10622.80248,2234.814816,4033.240479,,10209.07312,12081.80105,5371.166436,,10926.81797,11116.86106,5380.26762,,,5986.154109,7622.833328,,13837.12998,,3898.243037,11520.44787,,3245.975214,,,,15586.43008
1982,9410.347257,9343.8611,2169.004011,4122.784668,,9913.737642,11804.43289,5159.708645,,10938.12206,10501.60913,5579.234615,,,6160.638293,7556.523437,,12590.9768,,3788.050632,11072.65845,,3079.949566,,,,13738.9723
1983,9537.40742,8846.234298,1852.813434,4091.048584,,9864.34494,11857.89214,4478.500286,,10497.48,9998.975219,5019.878771,,,5915.241772,7832.575387,,12374.03042,,3527.04,10680.35904,,2735.491066,,,,12608.22915
1984,8991.06504,8457.268803,1963.572676,4258.743652,,9313.169412,11562.91908,4489.988939,,10833.86629,9430.069648,4852.565667,,,5692.027386,7739.715284,,12126.9392,,3332.885357,9977.160217,,2522.747476,,,,13099.02083
1985,9172.09676,8750.818513,1914.550647,4488.287109,,9429.569217,12253.10021,4699.655764,,11398.10595,9778.085305,4813.711205,,,6011.735546,7990.686566,,12481.96584,,3322.421283,9926.129971,,2705.193002,,,,13666.85775
1986,13083.07266,12170.0407,2260.427281,5642.631348,,13461.831,17201.08881,6513.503286,,14951.04679,13566.66077,5656.505332,,,8112.171363,11315.01518,,18149.86925,,4194.653939,13783.85011,,3861.948433,,,,17981.01941
1987,16392.76952,15135.85231,3132.30136,6690.578125,,16677.51079,21340.72786,8239.613802,,18571.05993,16340.72597,6564.884427,,,9581.913086,14234.72864,,22443.43146,,5083.669139,16709.55968,,4803.866095,1658.758739,,,21792.55891
1988,17578.61894,16391.09383,2511.393063,7645.629883,,17931.28232,22527.04673,9703.123838,,22047.79332,17727.51083,7598.028005,,,10715.87028,15744.66126,,25219.35428,,5814.364771,17744.50138,,5623.697,1753.192856,,,24534.69382
1989,17468.94614,16525.06174,2477.020818,8038.914063,,17764.37645,21901.05475,10681.9712,,23973.23948,17747.5816,7846.678122,,,11175.8166,16386.66221,,26618.06958,,6040.609862,17397.69168,,6056.381028,1789.644555,,,25662.22059
1990,21680.98962,20600.37528,2366.529821,9641.575195,3941.503094,22303.96133,26891.44645,13804.87679,,28364.64508,21865.55525,9600.185235,,,14031.30257,20825.78422,,33465.47821,,7191.923603,21290.86038,1731.209509,7884.617988,1648.48523,2405.53516,,30593.67244
1991,22410.91177,21041.66065,1267.734375,9696.099609,2896.609131,23357.75773,27011.37746,14811.90282,,25484.73929,21675.70609,10188.36978,,3350.258323,14087.20744,21956.52977,,35747.3378,,7558.277383,21732.23076,2235.541089,8958.985333,1254.312442,2691.195652,,31822.80385
1992,24880.16412,23372.61917,1211.980878,11310.07227,3372.86543,26438.23039,29569.66036,16112.18892,,22319.05946,23814.22737,11176.45842,,3735.10582,15714.38475,23243.47453,,39570.86157,,8220.245518,23904.03742,2459.020685,10810.56651,1102.103785,2920.917542,,32800.98269
1993,24081.52779,22283.93602,1278.525114,10526.1416,3956.17835,25522.62957,27597.97523,13339.90856,,17608.81239,22380.3319,10401.98301,,3873.987723,14657.06155,18738.7639,,40066.72425,,7296.310144,23122.41077,2497.130559,9534.656364,1158.056328,3102.296859,,24425.28493
1994,25646.70066,24208.55479,1148.494399,11617.69238,4630.551217,27076.60675,29995.57962,13415.287,,20301.33309,23496.36768,11091.28385,,4173.373024,15902.92968,19337.6309,,43933.23544,,8000.518005,24646.31431,2874.831636,9977.319909,1323.032378,3771.359516,,26083.61439
1995,30325.84958,28413.82644,2259.259226,15261.41016,5824.121291,31658.34938,35351.36546,15471.96272,3134.389753,26271.59981,26889.42506,12959.32429,4930.335309,4494.707624,19158.45648,20664.55227,2167.792582,51032.34964,2329.576733,9171.061035,29258.13435,3686.845146,11781.36185,1650.049224,4819.125555,10730.45101,30282.96392
1996,29809.07677,27489.55518,1470.192593,15139.22656,6532.837055,30485.86655,35650.71409,16109.0844,3380.926302,25783.45049,26870.28524,13749.11511,5298.88508,4525.039103,20835.89771,23081.60468,2327.434857,50444.35912,2431.709,9438.557327,29006.80945,4147.465501,12185.0914,1633.010644,5196.94038,10815.11105,32998.96816
1997,26705.4786,24820.93805,1361.409384,14234.24414,6034.488437,26964.04947,32835.93994,14730.79718,3682.952301,24691.87281,24226.88469,13427.83251,5330.328893,4596.182622,22551.11391,21829.34582,2830.278071,46641.64088,2683.241368,9724.33797,26700.53713,4123.145677,11575.50711,1577.33656,5146.671078,10454.96564,30312.4876
1998,27361.87511,25338.44329,1820.448664,15092.82617,6489.703619,27289.05936,33368.14242,15394.35146,4093.392477,26009.26949,24971.57449,13472.13761,5711.485704,4744.212264,24294.85477,22318.1373,3166.666533,47445.38108,2973.534843,10273.45181,27885.80838,4518.108226,12199.20639,1852.554969,5538.616465,11175.77103,30596.5272
1999,27183.47593,25252.80191,1659.718611,15287.91895,6337.41912,26734.94254,33440.79481,15720.6405,4140.936602,26186.19001,24678.39106,13249.66332,5267.512207,4793.478522,26338.10775,22005.05454,3113.17906,50872.44927,3151.577018,10720.90588,28272.64325,4398.072174,12475.29177,1599.906228,5645.581396,11452.78312,30941.07936
2000,24625.60072,23098.88651,1621.262107,14388.34766,6029.038193,23694.76048,30743.54768,14749.68742,4070.609024,24345.91482,22416.42542,12072.92936,4952.377753,4624.281657,26334.56721,20137.59122,3293.229979,48659.59888,3361.640869,10432.32806,26214.49855,4501.479961,11526.37207,1659.929049,5426.624281,10201.30354,29624.91267
2001,24558.76368,23015.07126,1770.907049,14821.44727,6637.041657,23628.32721,30751.65435,15369.00116,4505.858332,24967.79252,22449.33969,12549.03689,5364.010241,5276.033189,28282.40988,20500.9544,3525.793632,48440.14202,3578.0019,10402.23333,26896.54811,4991.244358,11734.76497,1825.192994,5722.168183,10479.75963,27247.85773
2002,26527.59309,25006.1914,2092.982886,16093.21484,8060.868703,25197.2656,33228.69354,17106.68658,5341.628947,26997.75299,24288.27002,14177.57216,6219.473213,6655.333009,32705.43456,22376.2979,4141.592702,53005.73392,4136.933297,11289.88974,29343.245,5207.129304,12936.69282,2119.855097,6564.696314,11777.15566,29899.19525
2003,32294.04886,30655.20927,2719.494369,20252.23828,9818.568493,30310.3576,40458.7774,21510.83625,7203.523038,32927.68029,29627.92426,18518.37884,8192.322633,8419.430871,41203.52958,27526.32246,5499.428989,65689.32145,5145.195232,13669.49722,35750.97466,5701.638863,15797.78213,2679.40626,8731.937368,14849.03724,37321.7979
2004,36889.23351,35429.40779,3389.687434,23792.62109,11749.85266,34106.65812,46511.59833,24907.00085,8914.103557,37772.17811,33797.16244,21995.47794,9723.381024,10301.70339,47754.20232,31317.20079,6700.327192,76544.91709,6378.666521,15197.05661,40436.61823,6681.309751,18064.15809,3494.990564,10691.44655,17233.13856,42821.67314
2005,38417.45779,36809.70134,3899.825963,24959.25977,13430.6699,34520.23965,48799.8256,26429.15094,10412.64431,39054.85044,34768.1759,22560.14729,10446.36149,11223.3993,50933.02161,32055.09208,7854.765279,80988.13762,7594.902384,15888.17246,41994.71353,8021.54789,18780.12751,4618.003508,11690.11347,18098.90854,43437.06312
2006,40669.32696,38705.1068,4523.146558,26729.32422,15261.79759,36353.88033,52026.99951,28389.07858,12639.40007,41222.602,36470.21284,24821.93675,11505.39984,11489.56087,54329.16186,33529.7266,9230.707981,90788.80049,9723.446902,16723.88427,44900.93814,9035.532758,19839.45405,5757.531273,13170.78498,19672.96556,46593.60216
2007,46915.3374,44319.16545,5888.776852,31244.92578,18466.54793,41640.08087,58487.05497,32591.35031,16744.58445,48476.39273,41557.62356,28863.97329,13762.45626,13940.90928,61396.41746,37870.74751,12285.44705,107475.3203,14113.52913,19485.87115,51799.20855,11254.31409,22811.05648,8360.337759,16106.06044,23817.88673,53700.00534
2008,51919.98358,48303.39796,7271.303389,35397.36328,22804.57768,45612.71062,64322.0635,35510.72223,18204.96648,53772.79424,45515.96175,32127.98319,15898.7999,15772.33008,61353.10656,40944.91242,14944.99665,120422.1379,16467.14369,22205.35677,57879.94376,13995.78116,24949.04136,10435.21798,18753.58494,27595.59997,56152.55234
2009,48153.32402,44760.29124,6988.273163,32109.24219,19861.69743,41650.36783,58163.27688,32169.50285,14711.73527,47481.48454,41737.76355,29828.75602,14421.17148,13077.30547,52133.09062,37226.75719,11820.77616,109419.747,12331.92855,21083.27705,52722.21306,11525.90074,23151.21541,8548.04859,16597.20846,24792.12798,46946.96027
2010,46903.76159,44184.94635,6863.667068,31023.26758,19960.06849,41572.45595,58041.39844,30532.48051,14663.04461,46505.30318,40676.06479,26716.64883,13693.50003,13217.5046,48663.60044,36035.645,11987.50841,110885.9914,11420.994,21798.91429,50999.74512,12504.25019,22520.64231,8397.809173,16908.84796,23532.48085,52869.04429
2011,51442.27625,47410.56693,7857.16707,32395.75391,21871.26608,46705.8958,61753.64713,31677.90031,17487.80478,51148.93164,43846.46608,25483.88256,14655.87439,14234.47158,52219.70573,38649.63948,14376.94786,119025.0572,13338.96224,23155.10353,54230.3129,13776.38836,23217.2955,9560.159425,18509.74022,25128.01504,60755.75955
2012,48564.91734,44670.56068,7430.73738,28910.74609,19870.80121,43855.85447,58507.50805,28322.94659,17403.20533,47708.06128,40870.85236,21912.99829,13439.66456,12984.83657,48943.82065,35051.52127,14367.70942,112584.6763,13847.33794,22526.53702,50070.1416,13010.75559,20563.7136,8930.729912,17498.3539,22641.80512,58037.82132
2013,50731.12725,46757.95186,7687.713682,27727.53516,20133.16914,46298.92292,61191.1937,29077.18206,19056.00192,49892.22336,42602.71797,21787.78776,13979.18556,13715.07036,51496.96169,35560.08141,15729.65247,120000.1407,15007.49186,24769.59623,52198.89756,13558.34113,21653.19598,9497.206476,18276.00955,23503.28249,61126.9432
2014,51786.37717,47764.07151,7912.274844,27162.32227,19890.91991,48023.86998,62548.98473,29513.65118,20261.06673,50327.24029,43068.54872,21616.71001,14001.16034,14294.25842,55752.76498,35565.72138,16551.0182,123678.7021,15742.39134,26753.27338,52900.53742,14181.94868,22103.70097,10031.34215,18719.98814,24247.17332,60020.36046
2015,44195.81759,41008.29672,7078.860323,23408.44141,17829.69832,41103.25644,53254.85637,25754.36103,17402.03761,42801.90812,36652.92231,18083.87791,12098.51203,12717.0386,62179.26427,30242.38614,14263.96458,105462.0126,13786.4568,24921.71418,45193.40322,12560.05142,19250.10654,8976.954489,16390.88217,20890.16643,51545.48361
2016,45307.58786,42012.62272,7570.931655,24605.34961,18575.23203,42136.12079,54663.99837,26537.15949,18295.34293,43814.02651,37062.53357,17923.96681,12579.9227,13104.69955,62784.06569,30960.73151,15008.31324,106899.2935,14331.75159,25623.94163,46039.10593,12378.81176,19991.97249,9404.381259,16563.4405,21678.35947,51965.15715
2017,47429.15846,44198.48239,8381.881346,26608.69531,20636.19995,44652.58917,57610.09818,28185.32137,20437.76538,46412.13648,38781.04949,18582.08934,13592.25452,14621.2396,70150.73702,32406.72032,16885.40739,110193.2138,15695.11515,28813.18534,48675.22234,13815.49995,21490.42986,10727.97086,17585.197,23514.02546,53791.50873
2018,51466.55656,47544.98115,9447.655897,29335.04688,23424.48046,47939.27829,61591.92887,30379.72111,23165.84948,49987.62616,41557.85486,19756.99046,15040.03692,16425.20503,79446.93911,34622.16967,19186.35959,116786.5117,17865.03109,31785.88483,53044.53244,15504.50894,23562.55452,12494.42358,19486.39368,26123.74713,54589.06039
2019,50067.58573,46641.7214,9874.336326,29420,23664.84786,46805.13843,59592.98069,29581.51855,23424.48471,48629.85823,40494.89829,19143.88762,15120.9029,16786.21364,80848.3019,33673.75096,19615.54915,112726.4397,17883.34941,31727.00707,52476.27325,15700.01358,23330.81729,12957.99911,19381.89055,26042.44635,51939.42974
2020,48789.49785,45609.00349,10148.3424,28281.42578,22992.87938,46749.47623,60836.59241,26984.29628,23595.24368,49169.71934,39179.74426,17617.29151,14269.90885,16125.60941,85973.08849,31922.91916,20381.85578,116905.3704,18096.20271,29597.63616,52162.57012,15816.8204,22242.40642,13047.45666,19552.09111,25558.42905,52837.90398
2021,53517.89045,51850.39718,12219.34187,32745.84375,26822.51419,51426.75037,69268.6518,30488.82095,27943.70122,53504.69365,43671.30841,20310.68248,17809.03239,18753.04695,102001.7982,36449.25834,23849.6157,133711.7944,20930.39824,34881.29127,58727.87055,18050.27944,24661.16649,14946.62497,21768.14867,29331.0647,61417.68088
2022,52084.6812,49926.82543,13974.44925,32048.24023,27226.61564,48717.99114,67790.05399,29674.54429,28247.09599,50871.93045,40886.25327,20867.26909,18570.404,18390.185,103983.2913,34776.42323,25064.80891,125006.0218,21779.50426,34127.51056,57025.01246,18688.00449,24515.26585,15786.80174,21256.80843,28439.3341,56424.2847
